CLIENT_GEO,PAGE_URL,PAGE_CONTEXT,PAGE_ENTITY_TYPE,TIMESTAMP,TIMESTAMP_DERIVED,UI_EVENT_SOURCE,UI_EVENT_TYPE,UI_EVENT_ID,USER_AGENT,COMPONENT_NAME,REPORT_ID_DERIVED
United States/null,/lightning/r/WorkOrder/0WO6P000002GiBbWAK/view,one:recordHomeFlexipage,WorkOrder,20220628010644.207,2022-06-28T01:06:44.210Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",,0WO6P000002GiBbWAK
United States/null,/lightning/r/WorkOrder/0WO6P000002GiBbWAK/view,one:recordHomeFlexipage,WorkOrder,20220628010644.207,2022-06-28T01:06:44.212Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",,0WO6P000002GiBbWAK
United States/null,/lightning/r/WorkOrder/0WO6P000002GiBbWAK/view,one:recordHomeFlexipage,WorkOrder,20220628010649.02,2022-06-28T01:06:49.021Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",,0WO6P000002GiBbWAK
United States/null,/lightning/r/WorkOrder/0WO6P000002GiBbWAK/view,one:recordHomeFlexipage,WorkOrder,20220628010649.023,2022-06-28T01:06:49.023Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",,0WO6P000002GiBbWAK
United States/null,/lightning/r/WorkOrder/0WO6P000001f1CJWAY/view,one:recordHomeFlexipage,WorkOrder,20220628010846.176,2022-06-28T01:08:46.177Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,0WO6P000001f1CJWAY
United States/null,/lightning/r/Case/5006P000005tOgYQAU/view?ws=%2Flightning%2Fr%2FCall_Transcript__c%2Fa7Z6P000008QACQUA4%2Fview%3Fc__recordType%3Dcontact%26c__input%3D6421627147%26c__contactFound%3Dfalse,one:recordHomeFlexipage2Wrapper,Case,20220628010849.82,2022-06-28T01:08:49.821Z,TypeError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",,5006P000005tOgYQAU
United States/null,/lightning/r/WorkOrder/0WO6P000001nGhLWAU/view,one:recordHomeFlexipage,WorkOrder,20220628011145.19,2022-06-28T01:11:45.190Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,0WO6P000001nGhLWAU
United States/null,/lightning/r/WorkOrder/0WO6P0000023JPsWAM/view,one:recordHomeFlexipage,WorkOrder,20220628011257.63,2022-06-28T01:12:57.627Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,0WO6P0000023JPsWAM
China/Fujian,/lightning/r/LiveChatTranscript/5706P000001RXN6QAO/view?channel=LIVE_AGENT,one:recordHomeFlexipage,LiveChatTranscript,20220628011459.496,2022-06-28T01:14:59.499Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,5706P000001RXN6QAO
China/Fujian,/lightning/r/LiveChatTranscript/5706P000001RXN6QAO/view?channel=LIVE_AGENT,one:recordHomeFlexipage,LiveChatTranscript,20220628011459.5,2022-06-28T01:14:59.500Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,5706P000001RXN6QAO
